Category,Model,R2,RMSE,MAE,MAPE
Regression,Lasso Regression,0.9997346702275908,59.3944507757736,45.28999477521096,0.6906702860959523
Regression,Linear Regression,0.9997346225356796,59.39978848733635,46.50936033371644,0.690756555050579
Regression,Ridge Regression,0.9994115051003956,88.4553754291633,66.01415654757884,0.9901665994369728
Tuned,Gradient Boosting,0.9966287037504878,211.7148578183803,143.21589184338055,
Tuned,LightGBM,0.9952283782726828,251.87547483336616,170.21683562376302,
Tuned,XGBoost,0.9931851898860208,301.00919211092514,224.7778697158351,
Tuned,Random Forest,0.8827368510606922,1248.6296821727512,1029.0732528273709,
Forecast,ARIMA,-0.0071377724509693,12910.799798868962,10493.242186145051,5.455090809821217
Forecast,LSTM,-0.0294706904549326,13053.161095288342,10652.0859375,5.504874103793767
Forecast,Prophet,-0.2226278814693452,14225.117171229089,10904.76289889313,5.726955007787195
Forecast,SARIMA,-1.1653995953980876,18931.181980025456,15159.519306006448,7.981565995593763
